;NO_CINE_ROTULO;QT_MAT_AMARELA;QT_MAT_BRANCA;QT_MAT_CORND;QT_MAT_INDIGENA;QT_MAT_PARDA;QT_MAT_PRETA;NEGRA;TOTAL
0;ABI Artes e humanidades;180;4417;243;17;1244;622;1866;6723
1;"""ABI Ciências naturais  matemática e estatística""";135;3075;218;5;935;359;1294;4727
2;"""ABI Ciências sociais  comunicação e informação""";45;2168;169;11;830;517;1347;3740
3;ABI Computação e Tecnologias da Informação e Comunicação (TIC);3;59;1;1;95;35;130;194
4;ABI Educação;25;283;6;183;394;134;528;1025
5;"""ABI Engenharia  produção e construção""";102;1538;373;4;1011;183;1194;3211
6;ABI Saúde e bem-estar;39;1267;209;4;436;214;650;2169
7;Administração;10092;263271;117086;2459;194984;38921;233905;626813
8;Administração pública;194;6486;3178;67;5780;1792;7572;17497
9;Agrimensura;2;71;111;1;41;10;51;236
10;Agrocomputação;12;141;5;1;77;14;91;250
11;Agroecologia;31;625;571;32;1340;382;1722;2981
12;Agroindústria;14;285;139;8;599;92;691;1137
13;Agronegócio;253;5507;2284;30;3330;523;3853;11927
14;Agronomia;1603;50454;11313;407;30299;7430;37729;101506
15;Agropecuária;4;175;6;0;66;12;78;263
16;Alimentos;163;3309;886;51;2832;706;3538;7947
17;Animação;141;2424;503;4;599;149;748;3820
18;Antropologia;15;434;114;107;354;149;503;1173
19;Aquicultura;18;661;115;67;470;100;570;1431
20;Arqueologia;11;276;122;22;372;128;500;931
21;Arquitetura e urbanismo;2289;67945;21893;576;31313;6622;37935;130638
22;Arquivologia;45;1342;512;6;1061;398;1459;3364
23;Artes;28;144;72;7;136;74;210;461
24;Artes cênicas;35;910;112;13;369;185;554;1624
25;Artes formação de professor;42;669;405;25;562;193;755;1896
26;Artes plásticas;16;559;81;6;542;97;639;1301
27;Artes visuais;64;2078;611;10;609;321;930;3693
28;Artes visuais formação de professor;347;11377;4012;129;6126;1931;8057;23922
29;Assistência a idosos e a deficientes;0;0;0;0;0;0;0;0
30;Astronomia;18;153;7;0;78;21;99;277
